year,count
"2008","2"
"2009","6"
"2010","10"
"2011","28"
"2012","86"
"2013","174"
"2014","176"
"2015","247"
"2016","392"
"2017","460"
"2018","656"
"2019","803"
"2020","1167"
"2021","1333"
