year,count
"2008","1"
"2009","19"
"2010","48"
"2011","117"
"2012","367"
"2013","441"
"2014","513"
"2015","633"
"2016","694"
"2017","863"
"2018","885"
"2019","985"
"2020","1191"
"2021","1273"
