year,count
"2008","3"
"2009","162"
"2010","352"
"2011","647"
"2012","883"
"2013","1072"
"2014","1346"
"2015","1254"
"2016","1499"
"2017","1934"
"2018","1787"
"2019","1751"
"2020","1592"
"2021","1269"
