year,count
"2008","2062"
"2009","12862"
"2010","27005"
"2011","42128"
"2012","64161"
"2013","96237"
"2014","116144"
"2015","136990"
"2016","158221"
"2017","191806"
"2018","205732"
"2019","224289"
"2020","288009"
"2021","284446"
