year,count
"2008","1"
"2009","15"
"2010","53"
"2011","174"
"2012","400"
"2013","656"
"2014","1004"
"2015","1344"
"2016","1735"
"2017","2086"
"2018","2614"
"2019","2553"
"2020","3575"
"2021","3279"
